序号,笔记标题,账号名称,账号类型,发布时间,搜索关键词,笔记链接,点赞量,收藏量,评论量,封面形式,封面主标题,开头第一句话,核心观点,内容结构,使用了哪些证据,用户主要痛点,评论区高频问题,评论区正面观点,评论区负面观点,是否存在广告感,值得借鉴的地方,不建议借鉴的地方
1,以为金属衣柜省钱，算完账要810一平，天塌,慢慢,用户,02-24,金属衣柜贵吗,https://www.xiaohongshu.com/explore/699d8068000000000e00ce94?xsec_token=AB1D215YJBrDFoB95PRFTKUzStPYnjOkPcpBD3ZH745yc=&xsec_source=,41,50,134,黄底便签式纯文字信息卡，5页轮播,以为金属衣柜省钱，算完账要810一平，天塌了！,一直以为金属衣柜是“平替”，今天做完预算我愣住了,用户观点：金属架本体不贵，但门板、门框与五金把总价推到约810元/平，接近木制定制。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出810元、1200元等自报数据或尺寸；未做独立核验，绝对化性能宣称亦无检测佐证,价格与增项；环保与气味；落灰与遮挡；柜门与轨道,评论区用户观点：我这个最后算下来就1000➕一平，主要是里面配件比较贵，还有…；门板用的什么材料？里面是用的那种材料呢；这种门还是木门吗？,评论区用户观点：我这个最后算下来就1000➕一平，主要是里面配件比较贵，还有…；我准备装这个，200块，落地的牢固又便宜，加个帘子完事。；你追求的到底是省钱还是环保呢 想清楚吧,评论区用户观点：我这个最后算下来就1000➕一平，主要是里面配件比较贵，还有…,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
2,冷知识金属衣柜比常规衣柜贵,Jam酱（软装中）,用户,2025-12-03,金属衣柜贵吗,https://www.xiaohongshu.com/explore/692f2419000000001f00a508?xsec_token=ABTvMc-PGfDOIfy09GRuS3_hRvN486c3_OW5MbdRxa4eQ=&xsec_source=,47,41,90,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,最终还是装了金属衣柜 预留宽度60cm 一直希望衣柜能容纳更多衣物 但是其实做金属衣柜+柜…,用户观点：金属系统加柜门后可能比常规衣柜贵；作者仍因灵活性选择金属。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出60cm等自报数据或尺寸；未做独立核验,价格与增项；柜门与轨道；容量与可调整性,未获取,未获取,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
3,金属衣柜让我头疼,有两只小可爱（装修中）,用户,02-03,金属衣柜贵吗,https://www.xiaohongshu.com/explore/69817764000000000e03e48c?xsec_token=ABdxU1Ne2jdwabdTeMMAvSoOGebK0URDXYnOZqYDfCZ3A=&xsec_source=,178,173,262,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,发现金属衣柜做下来价格并不便宜,用户观点：环保动机明确，但架体、柜门及多方协调使预算和执行复杂度接近全屋定制。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出2米、2.6米等自报数据或尺寸；未做独立核验,价格与增项；环保与气味；柜门与轨道；安装与协同,评论区用户观点：我家也是孩子小想尽量减少甲醛，三个房间衣架6800，主卧蜂窝…；没做柜门，里面是立柱，做了两个一共六千多，还是比定制柜便宜的…；预算低的可以直接做帘子 柜门价格高一些 ，我只有主卧做个柜门…,评论区用户观点：没做柜门，里面是立柱，做了两个一共六千多，还是比定制柜便宜的…；就是因为环保，新家放味半年，入住半年后卧室金属衣柜没什么味道…,评论区用户观点：就是因为环保，新家放味半年，入住半年后卧室金属衣柜没什么味道…；预算低的可以直接做帘子 柜门价格高一些 ，我只有主卧做个柜门…,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
4,3000💰拿下3米金属衣柜，真的太香了！,颂美伢（软装中）,用户,编辑于 04-26,金属衣柜柜门,https://www.xiaohongshu.com/explore/69d75c7a0000000021010070?xsec_token=AB2kzv-HENYs_NylRmCqGVnMqWuucN-QqENTKLUPdJsZI=&xsec_source=,618,949,227,图文轮播（1/10）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,装修预算紧张，又看不上板材衣柜的千篇一律,用户观点：自配金属门、框架和侧板可将3米多衣柜控制在约3000元。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出3.2米、2.7米、3000块、1800元、300元、420元等自报数据或尺寸；未做独立核验,价格与增项；承重与墙体；柜门与轨道；容量与可调整性,评论区用户观点：你好我想问一下，侧面如果用板子，推拉门撞击侧面，时间久了板子…；地面固定是在瓷砖上开洞嘛？；为什么你的推拉门这么窄，我这里说要8cm轨道,未获取,评论区用户观点：宝子们，私信太多聊不过来，可以的话蹲我剪个视频讲解里面的细节…,疑似/轻度（存在链接、私信或咨询导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
5,跟风装了金属衣柜，很满意,keren,用户,编辑于 01-15,金属衣柜和木衣柜,https://www.xiaohongshu.com/explore/68a03fee000000001d00b1c9?xsec_token=ABnrfqviGmbQbocsAaDnwKtLkxfRlvzAja1i6GEgsMnDQ=&xsec_source=,524,487,229,图文轮播（1/5）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,美貌、实用、透气感满满 今天在陆续整理衣服，容量感人[赞R][赞R] 把衣服全都挂出来，更…,用户观点：金属柜能装且可调，但4.6米架体加柜门约1.54万元，并非低价方案。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；柜门与轨道；容量与可调整性,未获取,未获取,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
6,金属衣柜真实使用感受,跳咪周周在家,用户,02-02,金属衣柜,https://www.xiaohongshu.com/explore/698056fe000000000a02cf39?xsec_token=ABA-llvvOkq5iDsXl4fxhHT7TNLV5akiVgWLGGozTzPC0=&xsec_source=,2523,3030,260,图文轮播（1/6）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,首先先说结论：好用，无痛收纳衣服，全挂衣区真的适合懒人；便宜，四米衣柜一共才一千不到，省下…,用户观点：干燥地区的开放金属衣柜便宜、能装、可调；高处拿取和地域湿度是限制。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；环保与气味；柜门与轨道；安装与协同,评论区用户观点：求金属柜的链接；请问架子是找哪里做的？,评论区用户观点：好用,未获取,疑似/轻度（存在链接、私信或咨询导向）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
7,不吹不黑｜金属衣柜用了2年，说点真心话,哎西吧,用户,06-01,金属衣柜落灰,https://www.xiaohongshu.com/explore/6a1bd04400000000060344f5?xsec_token=ABmc3IPB509I_4uBOJ5Yh1XypHa7-Rk8XfY28m8wfoxZE=&xsec_source=,681,559,57,卧室开放衣柜实拍，无叠字，3页轮播,无,看到好多人问“金属衣柜值得买吗”，我用了2年，来说点真话,用户观点：两年使用后，灵活和易清洁成立，但落灰、噪声与工业感需要接受。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出2年、10cm等自报数据或尺寸；未做独立核验，绝对化性能宣称亦无检测佐证,价格与增项；环保与气味；落灰与遮挡；容量与可调整性,评论区用户观点：这种拉篮怎么安装的，看不清；再配个折叠门好 防尘 也好看；后面不是承重墙可以吗,评论区用户观点：再配个折叠门好 防尘 也好看,评论区用户观点：后面不是承重墙可以吗；想问一下，这个金属衣柜的墙面会开裂吗？,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
8,金属衣柜翻车！除了环保全是雷⚡️ 劝退平开门,已入住的小泡芙,用户,编辑于 2025-06-22,衣柜环保,https://www.xiaohongshu.com/explore/685403570000000012014863?xsec_token=ABcl5AVWDcr0MXuRe9K-EVRqHMuXiV1C8zu3sVoIk70sw=&xsec_source=,1226,1512,466,图文轮播（1/7）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,看着装的金属衣柜整体和门子还可以,用户观点：平开门与金属配件容易互相干涉；若换折叠门，总价可能大幅高于架体。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出1万等自报数据或尺寸；未做独立核验,价格与增项；环保与气味；承重与墙体；柜门与轨道,评论区用户观点：不理解为什么要买这种上墙的，成品戴尔金属衣柜，自带金属结构框…；我家正在装修，其实我想说，你这种上墙的宜家的容易踩坑的，首先…；折叠门无敌好用,评论区用户观点：不理解为什么要买这种上墙的，成品戴尔金属衣柜，自带金属结构框…；我家正在装修，其实我想说，你这种上墙的宜家的容易踩坑的，首先…；折叠门无敌好用,评论区用户观点：我家正在装修，其实我想说，你这种上墙的宜家的容易踩坑的，首先…,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
9,钢架衣柜避坑点！纯干货必看,房子随便赵女士,用户,编辑于 07-03 浙江,金属衣柜避坑,https://www.xiaohongshu.com/explore/6a4753e30000000017029115?xsec_token=ABnSXF6zNoMaEV57t-kjIKEgybHdMtc7ao5juovLmxYgY=&xsec_source=,525,909,163,图文轮播（1/8）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,首先钢架衣柜真的很好,用户观点：钢架本身可低价，本地焊接、包板厚度、门轨与墙体条件决定最终效果和成本。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出2.1米、1.8cm、8cm、7cm、2cm、2米等自报数据或尺寸；未做独立核验,价格与增项；承重与墙体；柜门与轨道；安装与协同,评论区用户观点：这样子效果全屋落地大概多少钱呀；砌墙还是木工石膏板经济实惠？；实木蜂窝铝门会不会碰到有点吵有点冰冷？ 这个门一扇多宽？姐妹,评论区用户观点：做这种类型的是不是自己买材料好点会便宜很多,评论区用户观点：实木蜂窝铝门会不会碰到有点吵有点冰冷？ 这个门一扇多宽？姐妹；想问一下赵女士，图上我画圈的地方是固定在板材上的吗？感觉衣服…；请问如果是承重墙做卡座，还需要安钢架吗,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
10,"尬吹金属衣柜的,坑了多少小白!去魅吧都",小野淘,商家,编辑于 3天前 上海,金属衣柜安装,https://www.xiaohongshu.com/explore/6a54e6c9000000001101dd65?xsec_token=AB2rJNKfYNfYhNrZ0YyM3Pd7h5SgIQXCiboaexyKRKMOY=&xsec_source=,515,854,153,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,商家/团购观点：以“去魅”标题吸引讨论，但正文主要为标签，引导进群与购买。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,柜门与轨道,评论区用户观点：怎么买呀；亲怎么团；把折叠门算进去 一点也不省钱,未获取,未获取,较强（门店、安装、咨询或团购导向）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
11,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,用户,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5?xsec_token=AB4xKA19Ru15YuoaQHbSJg8R6vi4rCTrs15HMftNWm90Y=&xsec_source=,2975,3978,150,空衣帽间实拍+系统名叠字，6页轮播,IKEA BOAXEL,这次装修卧室真一个衣柜没做，卧室里只用斗柜收纳贴身衣物和卧室杂物,用户观点：将公共衣帽间改为宜家壁挂系统并自装，可用约2300元获得4平方米挂衣空间。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出4平、0元等自报数据或尺寸；未做独立核验,价格与增项；承重与墙体；安装与协同；容量与可调整性,评论区用户观点：怎么这么便宜啊 我买1.7米的美达斯都要1800，怎么x2才…；上墙需要是承重墙吗？；请问宜家的衣架不包安装吗？,评论区用户观点：怎么这么便宜啊 我买1.7米的美达斯都要1800，怎么x2才…,评论区用户观点：上墙需要是承重墙吗？；请问是在网站上定制吗？ 🍑是不是不能定制啊？,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
12,6k打造12m²开放式衣帽间，真香啊！,大俊村长,装修博主,06-03,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a2011d20000000021017ed2?xsec_token=ABPICNHuhdjE8aXDHkR0U36cAdrvSXBtjFTxr2uDoDLf0=&xsec_source=,1952,1290,51,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,卧室开放式衣帽间12m²超大步入式衣帽间,用户观点：开放衣帽间通过自购材料把12平方米控制在6000多元，但评论最关心灰尘。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出12m²等自报数据或尺寸；未做独立核验,价格与增项；落灰与遮挡；容量与可调整性,评论区用户观点：灰尘怎么处理？；每天穿之前先粘一遍猫毛？；尘埃问题请问如何解决？比如西装这些我比较少用的。,未获取,评论区用户观点：灰尘怎么处理？,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
13,730块严丝合缝🪞5米开放式衣帽间不要太香！,一只奥特曼✨（空房改造ing）,用户,06-22 上海,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a38bdc60000000011018b0e?xsec_token=ABAroOZG35mbH4W-ZQTWyqNETAOQ8smcPfCnOwt2LbAHs=&xsec_source=,613,537,43,图文轮播（1/15）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,用户观点：租住/改造场景中，约730元的货架式方案容量大，承重与尺寸仍需验证。,分析：画面/标题承担信息，正文以标签为主,事实记录：作者/品牌给出1%等自报数据或尺寸；未做独立核验,容量与可调整性,评论区用户观点：结实吗？会不会用着用着变形了；可以直接推链接吗我；可以发一下链接吗？,评论区用户观点：结实吗？会不会用着用着变形了,未获取,疑似/轻度（存在链接、私信或咨询导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
14,金属衣柜搬家怎么办？,一朵程序媛,用户,07-04 广东,金属衣柜搬家,https://www.xiaohongshu.com/explore/6a48b030000000002201aa50?xsec_token=ABiuGiHmqpzWXenly7WUvLo9IApvwgAowyFOsvbva6-VQ=&xsec_source=,1,未获取,未获取,图文轮播（1/2）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,2年前发了一篇金属衣柜的笔记，就有姐妹评论区指出金属衣柜搬家带不走的问题,用户观点：旧金属衣柜在尺寸相近时可拆装复用，一次搬家拆装和修墙约450元。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出2年、2年等自报数据或尺寸；未做独立核验,价格与增项；落灰与遮挡；柜门与轨道；安装与协同,未获取,未获取,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
15,金属衣柜搬家能带走吗？,瘦子名圆,用户,2025-05-08,金属衣柜搬家,https://www.xiaohongshu.com/explore/681c8ed5000000002202684e?xsec_token=ABYuTbufjN-whHzT4KKzJmnPTOS1XMuHKXZ_SANvO20oI=&xsec_source=,5,1,5,图文轮播（1/4）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,5年前装老房子，正好有一个衣帽间和一个凹洞，于是做了两个金属衣柜,用户观点：使用五年的金属衣柜仍结实，作者想搬到新家，但新墙体和柜门条件不确定。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出5年等自报数据或尺寸；未做独立核验,价格与增项；落灰与遮挡；承重与墙体；柜门与轨道,评论区用户观点：这种配件单买都还挺贵的，就带走呗，墙上的立柱条就不拆了，再买…；可以拆下重新安装的宝,评论区用户观点：这种配件单买都还挺贵的，就带走呗，墙上的立柱条就不拆了，再买…,评论区用户观点：这种配件单买都还挺贵的，就带走呗，墙上的立柱条就不拆了，再买…,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
