序号,标准问题,真实评论短句,一级分类,二级主题,提问类型,来源批次,笔记标题,账号名称,笔记发布时间,搜索关键词,笔记链接,评论日期地区,建议回答证据,研究备注
1,门板用的什么材料？里面是用的那种材料,门板用的什么材料？里面是用的那种材料呢,材料问题,材质/涂层/板件,直接提问,上一轮样本,以为金属衣柜省钱，算完账要810一平，天塌,慢慢,02-24,金属衣柜贵吗,https://www.xiaohongshu.com/explore/699d8068000000000e00ce94,02-25四川,材料牌号/厚度/涂层工艺；门板和侧板单独说明,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
2,这个是为了固定侧板吗？,这个是为了固定侧板吗？,安装问题,侧板固定/收口施工,直接提问,上一轮样本,3000💰拿下3米金属衣柜，真的太香了！,颂美伢（软装中）,编辑于 04-26,金属衣柜柜门,https://www.xiaohongshu.com/explore/69d75c7a0000000021010070,04-10广东,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
3,求金属柜的链接？,求金属柜的链接,价格问题,总价/包含项/购买渠道,请求型,上一轮样本,金属衣柜真实使用感受,跳咪周周在家,02-02,金属衣柜,https://www.xiaohongshu.com/explore/698056fe000000000a02cf39,02-02江苏,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
4,实木蜂窝铝门会不会碰到有点吵有点冰冷？ 这个门一扇多宽？,实木蜂窝铝门会不会碰到有点吵有点冰冷？ 这个门一扇多宽？姐妹,材料问题,材质/涂层/板件,直接提问,上一轮样本,钢架衣柜避坑点！纯干货必看,房子随便赵女士,编辑于 07-03 浙江,金属衣柜避坑,https://www.xiaohongshu.com/explore/6a4753e30000000017029115,07-08广东,材料牌号/厚度/涂层工艺；门板和侧板单独说明,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
5,赵女士，图上我画圈的地方是固定在板材上的吗？感觉衣服还是很重的，目前我看的几乎所有案例，挂衣杆都是固定在板材上，这样承重足够吗？,想问一下赵女士，图上我画圈的地方是固定在板材上的吗？感觉衣服还是很重的，目前我看的几乎所有案例，挂衣杆都是固定在板材上，这样承重足够吗？,承重问题,挂衣杆受力/板件连接,直接提问,上一轮样本,钢架衣柜避坑点！纯干货必看,房子随便赵女士,编辑于 07-03 浙江,金属衣柜避坑,https://www.xiaohongshu.com/explore/6a4753e30000000017029115,07-03河南,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
6,如果是承重墙做卡座，还需要安钢架吗？,请问如果是承重墙做卡座，还需要安钢架吗,承重问题,稳定性/荷载,直接提问,上一轮样本,钢架衣柜避坑点！纯干货必看,房子随便赵女士,编辑于 07-03 浙江,金属衣柜避坑,https://www.xiaohongshu.com/explore/6a4753e30000000017029115,07-03山东,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
7,怎么这么便宜啊 我买1.7米的美达斯都要1800，怎么x2才3000,怎么这么便宜啊 我买1.7米的美达斯都要1800，怎么x2才3000,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5,2025-11-14福建,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
8,上墙需要是承重墙吗？,上墙需要是承重墙吗？,承重问题,稳定性/荷载,直接提问,上一轮样本,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5,2025-11-13重庆,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
9,宜家的衣架不包安装吗？,请问宜家的衣架不包安装吗？,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5,2025-12-21北京,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
10,包安装吗？,请问包安装吗,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5,03-12湖南,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
